PACKING LIST,HX-PL-26-0626,,,,
Date,2026-06-26,,,,
Exporter,"Ningbo Haixing Textile Import & Export Co., Ltd",,,,
Buyer,"Pacific Crest Distribution LLC, Carson CA",,,,
Buyer PO,PC-PO-26-0388,,,,
Booking Ref,MFS-BK-260609-088,,,,
B/L No,MFSB-26071761,,,,
Container,MERU3180074,Seal,MLSE099231,Type,40'HC
Pallet Nos,Carton Range,Item,Pieces,Net kg,Gross kg
1-16,1-748,HX-TS-CLASSIC cotton knit t-shirt crew neck 60 pcs/ctn,"44,880","9,724.0","10,621.6"
17-26,749-1248,HX-TS-VNECK cotton knit t-shirt v-neck 60 pcs/ctn,"30,000","6,700.0","7,300.0"
SUBTOTAL,"1,248 cartons",,"74,880","16,424.0","17,921.6"
,,Pallets 26 x 24.0 kg,,,"624.0"
GRAND TOTAL,"1,248 cartons on 26 pallets",,"74,880","16,424.0","18,545.6"
