PACKING LIST,BW-PL-26-0702,,,,
Date,2026-07-02,,,,
Exporter,"Shenzhen Brightway Electronics Co., Ltd",,,,
Buyer,"Nordhaven Import GmbH, Hamburg",,,,
Buyer PO,NH-PO-26-0441,,,,
Booking Ref,MFS-BK-260618-114,,,,
B/L No,MFSB-26071842,,,,
Container,MERU5502312,Seal,MLSE104582,Type,40'HC
Pallet Nos,Carton Range,Item,Pieces,Net kg,Gross kg
1-14,1-480,BW-PA65 USB-C power adapter 65W GaN,"11,520","2,592.0","2,928.0"
15-20,481-720,BW-PA100 USB-C power adapter 100W GaN,"6,000","1,922.4","2,016.0"
SUBTOTAL,720 cartons,,"17,520","4,514.4","4,944.0"
,,Pallets 20 x 22.0 kg,,,"440.0"
GRAND TOTAL,720 cartons on 20 pallets,,"17,520","4,514.4","5,384.0"
