PACKING LIST,PB-PL-26-0614,,,,
Date,2026-06-14,,,,
Exporter,"Dongguan Playbright Toys Manufacturing Co., Ltd",,,,
Buyer,"Harborline Trading Corp, New York NY",,,,
Buyer PO,HB-PO-26-0512,,,,
Booking Ref,MFS-BK-260602-071,,,,
B/L No,MFSB-26071633,,,,
Container,MERU4106195,Seal,MLSE207114,Type,40'HC
Pallet Nos,Carton Range,Item,Pieces,Net kg,Gross kg
1-30,1-1500,PB-TCS-120 injection-molded toy construction set 12 pcs/ctn,"18,000","15,900.0","17,700.0"
SUBTOTAL,"1,500 cartons",,"18,000","15,900.0","17,700.0"
,,Pallets 30 x 24.0 kg,,,"720.0"
GRAND TOTAL,"1,500 cartons on 30 pallets",,"18,000","15,900.0","18,420.0"
