PACKING LIST,BW-PL-26-0708,,,,
Date,2026-07-08,,,,
Exporter,"Shenzhen Brightway Electronics Co., Ltd",,,,
Buyer,"Pacific Crest Distribution LLC, Carson CA",,,,
Buyer PO,PC-PO-26-0455,,,,
Booking Ref,MFS-BK-260625-129,,,,
B/L No,MFSB-26071901,,,,
Container,MERU7719035,Seal,MLSE118447,Type,40'HC
Pallet Nos,Carton Range,Item,Pieces,Net kg,Gross kg
1-13,1-520,BW-NB14 notebook computer 14-inch 5 pcs/ctn,"2,600","5,980.0","6,552.0"
SUBTOTAL,520 cartons,,"2,600","5,980.0","6,552.0"
,,Pallets 13 x 24.0 kg,,,"312.0"
GRAND TOTAL,520 cartons on 13 pallets,,"2,600","5,980.0","6,864.0"
