PACKING LIST,BW-PL-26-0710,,,,
Date,2026-07-10,,,,
Exporter,"Shenzhen Brightway Electronics Co., Ltd",,,,
Buyer,"Nordhaven Import GmbH, Hamburg",,,,
Buyer PO,NH-PO-26-0498,,,,
Booking Ref,MFS-BK-260708-152,,,,
AWB No,999-44718203,,,,
Pallet Nos,Carton Range,Item,Pieces,Net kg,Gross kg
1-8,1-200,"BW-PB26 power bank 26,800 mAh 24 pcs/ctn","4,800","1,824.0","1,920.0"
SUBTOTAL,200 cartons,,"4,800","1,824.0","1,920.0"
,,Pallets 8 x 18.0 kg,,,"144.0"
GRAND TOTAL,200 cartons on 8 pallets,,"4,800","1,824.0","2,064.0"
