PACKING LIST,HX-PL-26-0703,,,,
Date,2026-07-03,,,,
Exporter,"Ningbo Haixing Textile Import & Export Co., Ltd",,,,
Buyer,"Harborline Trading Corp, New York NY",,,,
Buyer PO,HB-PO-26-0574,,,,
Booking Ref,MFS-BK-260630-140,,,,
B/L No,MFSB-26071988,,,,
Container,MERU6624104,Seal,MLSE130552,Type,20'GP
Pallet Nos,Carton Range,Item,Pieces,Net kg,Gross kg
1-10,1-500,HX-PC-45 polypropylene storage crate 45 L 8 pcs/ctn,"4,000","7,250.0","7,750.0"
11-14,501-620,HX-PC-65 polypropylene storage crate 65 L with lid 8 pcs/ctn,960,"1,680.0","1,860.0"
SUBTOTAL,620 cartons,,"4,960","8,930.0","9,610.0"
,,Pallets 14 x 24.0 kg,,,"336.0"
GRAND TOTAL,620 cartons on 14 pallets,,"4,960","8,930.0","9,946.0"
